state,county,candidate,party,total_votes
New Hampshire,Madison,Corky Messner,REP,689
New Hampshire,Madison,Justin O'Donnell,LIB,16
New Hampshire,Madison, Write-ins,WRI,0
New Hampshire,Moultonborough,Jeanne Shaheen,DEM,1700
New Hampshire,Moultonborough,Justin O'Donnell,LIB,35
New Hampshire,Moultonborough, Write-ins,WRI,4
New Hampshire,Ossipee,Jeanne Shaheen,DEM,1072
New Hampshire,Ossipee,Justin O'Donnell,LIB,58
New Hampshire,Ossipee, Write-ins,WRI,0
New Hampshire,Sandwich,Corky Messner,REP,387
New Hampshire,Sandwich,Justin O'Donnell,LIB,11
New Hampshire,Sandwich, Write-ins,WRI,0
New Hampshire,Tamworth,Corky Messner,REP,752
New Hampshire,Tamworth,Justin O'Donnell,LIB,50
New Hampshire,Tamworth, Write-ins,WRI,0
New Hampshire,Tuftonboro,Jeanne Shaheen,DEM,921
New Hampshire,Tuftonboro,Justin O'Donnell,LIB,23
New Hampshire,Tuftonboro, Write-ins,WRI,0
New Hampshire,Wakefield,Jeanne Shaheen,DEM,1420
New Hampshire,Wakefield,Justin O'Donnell,LIB,86
New Hampshire,Wakefield, Write-ins,WRI,0
New Hampshire,Wolfeboro,Corky Messner,REP,2237
New Hampshire,Wolfeboro,Justin O'Donnell,LIB,84
New Hampshire,Wolfeboro, Write-ins,WRI,0
New Hampshire,Alstead,Corky Messner,REP,439
New Hampshire,Alstead,Justin O'Donnell,LIB,31
New Hampshire,Alstead, Write-ins,WRI,0
New Hampshire,Chesterfield,Corky Messner,REP,861
New Hampshire,Chesterfield,Justin O'Donnell,LIB,48
New Hampshire,Chesterfield, Write-ins,WRI,0
New Hampshire,Dublin,Corky Messner,REP,385
New Hampshire,Dublin,Justin O'Donnell,LIB,22
New Hampshire,Dublin, Write-ins,WRI,0
New Hampshire,Fitzwilliam,Corky Messner,REP,596
New Hampshire,Fitzwilliam,Justin O'Donnell,LIB,32
New Hampshire,Fitzwilliam, Write-ins,WRI,0
New Hampshire,Gilsum,Corky Messner,REP,220
New Hampshire,Gilsum,Justin O'Donnell,LIB,14
New Hampshire,Gilsum, Write-ins,WRI,0
New Hampshire,Harrisville,Corky Messner,REP,173
New Hampshire,Harrisville,Justin O'Donnell,LIB,19
New Hampshire,Harrisville, Write-ins,WRI,0
New Hampshire,Hinsdale,Corky Messner,REP,667
New Hampshire,Hinsdale,Justin O'Donnell,LIB,51
New Hampshire,Hinsdale, Write-ins,WRI,0
New Hampshire,Jaffrey,Corky Messner,REP,1250
New Hampshire,Jaffrey,Justin O'Donnell,LIB,72
New Hampshire,Jaffrey, Write-ins,WRI,0
New Hampshire,Keene,Corky Messner,REP,3229
New Hampshire,Keene,Justin O'Donnell,LIB,336
New Hampshire,Keene, Write-ins,WRI,11
New Hampshire,Marlborough,Corky Messner,REP,388
New Hampshire,Marlborough,Justin O'Donnell,LIB,31
New Hampshire,Marlborough, Write-ins,WRI,0
New Hampshire,Marlow,Corky Messner,REP,184
New Hampshire,Marlow,Justin O'Donnell,LIB,14
New Hampshire,Marlow, Write-ins,WRI,0
New Hampshire,Nelson,Corky Messner,REP,152
New Hampshire,Nelson,Justin O'Donnell,LIB,10
New Hampshire,Nelson, Write-ins,WRI,0
New Hampshire,Richmond,Jeanne Shaheen,DEM,307
New Hampshire,Richmond,Justin O'Donnell,LIB,18
New Hampshire,Richmond, Write-ins,WRI,0
New Hampshire,Rindge,Jeanne Shaheen,DEM,1508
New Hampshire,Rindge,Justin O'Donnell,LIB,121
New Hampshire,Rindge, Write-ins,WRI,0
New Hampshire,Roxbury,Corky Messner,REP,43
New Hampshire,Roxbury,Justin O'Donnell,LIB,1
New Hampshire,Roxbury, Write-ins,WRI,0
New Hampshire,Stoddard,Corky Messner,REP,396
New Hampshire,Stoddard,Justin O'Donnell,LIB,20
New Hampshire,Stoddard, Write-ins,WRI,0
New Hampshire,Sullivan,Corky Messner,REP,153
New Hampshire,Sullivan,Justin O'Donnell,LIB,14
New Hampshire,Sullivan, Write-ins,WRI,0
New Hampshire,Surry,Corky Messner,REP,209
New Hampshire,Surry,Justin O'Donnell,LIB,11
New Hampshire,Surry, Write-ins,WRI,0
New Hampshire,Swanzey,Corky Messner,REP,1539
New Hampshire,Swanzey,Justin O'Donnell,LIB,59
New Hampshire,Swanzey, Write-ins,WRI,0
New Hampshire,Troy,Corky Messner,REP,497
New Hampshire,Troy,Justin O'Donnell,LIB,38
New Hampshire,Troy, Write-ins,WRI,0
New Hampshire,Walpole,Corky Messner,REP,745
New Hampshire,Walpole,Justin O'Donnell,LIB,69
New Hampshire,Walpole, Write-ins,WRI,0
New Hampshire,Westmoreland,Corky Messner,REP,388
New Hampshire,Westmoreland,Justin O'Donnell,LIB,23
New Hampshire,Westmoreland, Write-ins,WRI,0
New Hampshire,Winchester,Corky Messner,REP,815
New Hampshire,Winchester,Justin O'Donnell,LIB,68
New Hampshire,Winchester, Write-ins,WRI,0
New Hampshire,Berlin,Corky Messner,REP,1475
New Hampshire,Berlin,Justin O'Donnell,LIB,122
New Hampshire,Berlin, Write-ins,WRI,6
New Hampshire,Carroll,Corky Messner,REP,228
New Hampshire,Carroll,Justin O'Donnell,LIB,8
New Hampshire,Carroll, Write-ins,WRI,0
New Hampshire,Clarksville,Jeanne Shaheen,DEM,80
New Hampshire,Clarksville,Justin O'Donnell,LIB,6
New Hampshire,Clarksville, Write-ins,WRI,0
New Hampshire,Colebrook,Jeanne Shaheen,DEM,475
New Hampshire,Colebrook,Justin O'Donnell,LIB,19
New Hampshire,Colebrook, Write-ins,WRI,0
New Hampshire,Columbia,Jeanne Shaheen,DEM,148
New Hampshire,Columbia,Justin O'Donnell,LIB,8
New Hampshire,Columbia, Write-ins,WRI,0
New Hampshire,Dalton,Corky Messner,REP,258
New Hampshire,Dalton,Justin O'Donnell,LIB,13
New Hampshire,Dalton, Write-ins,WRI,0
New Hampshire,Dixville,Corky Messner,REP,1
New Hampshire,Dixville,Justin O'Donnell,LIB,0
New Hampshire,Dixville, Write-ins,WRI,0
New Hampshire,Dummer,Jeanne Shaheen,DEM,82
New Hampshire,Dummer,Justin O'Donnell,LIB,6
New Hampshire,Dummer, Write-ins,WRI,0
New Hampshire,Errol,Jeanne Shaheen,DEM,82
New Hampshire,Errol,Justin O'Donnell,LIB,2
New Hampshire,Errol, Write-ins,WRI,0
New Hampshire,Gorham,Corky Messner,REP,616
New Hampshire,Gorham,Justin O'Donnell,LIB,37
New Hampshire,Gorham, Write-ins,WRI,0
New Hampshire,Jefferson,Jeanne Shaheen,DEM,302
New Hampshire,Jefferson,Justin O'Donnell,LIB,16
New Hampshire,Jefferson, Write-ins,WRI,0
New Hampshire,Lancaster,Corky Messner,REP,767
New Hampshire,Lancaster,Justin O'Donnell,LIB,40
New Hampshire,Lancaster, Write-ins,WRI,5
New Hampshire,Milan,Corky Messner,REP,364
New Hampshire,Milan,Justin O'Donnell,LIB,11
New Hampshire,Milan, Write-ins,WRI,0
New Hampshire,Millsfield,Jeanne Shaheen,DEM,7
New Hampshire,Millsfield,Justin O'Donnell,LIB,0
New Hampshire,Millsfield, Write-ins,WRI,0
New Hampshire,Northumberland,Corky Messner,REP,504
New Hampshire,Northumberland,Justin O'Donnell,LIB,15
New Hampshire,Northumberland, Write-ins,WRI,0
New Hampshire,Pittsburg,Jeanne Shaheen,DEM,192
New Hampshire,Pittsburg,Justin O'Donnell,LIB,3
New Hampshire,Pittsburg, Write-ins,WRI,0
New Hampshire,Randolph,Corky Messner,REP,74
New Hampshire,Randolph,Justin O'Donnell,LIB,1
New Hampshire,Randolph, Write-ins,WRI,0
New Hampshire,Shelburne,Corky Messner,REP,108
New Hampshire,Shelburne,Justin O'Donnell,LIB,4
New Hampshire,Shelburne, Write-ins,WRI,0
New Hampshire,Stark,Jeanne Shaheen,DEM,135
New Hampshire,Stark,Justin O'Donnell,LIB,7
New Hampshire,Stark, Write-ins,WRI,0
New Hampshire,Stewartstown,Jeanne Shaheen,DEM,155
New Hampshire,Stewartstown,Justin O'Donnell,LIB,7
New Hampshire,Stewartstown, Write-ins,WRI,0
New Hampshire,Stratford,Corky Messner,REP,120
New Hampshire,Stratford,Justin O'Donnell,LIB,7
New Hampshire,Stratford, Write-ins,WRI,0
New Hampshire,Wentworth's Location,Jeanne Shaheen,DEM,4
New Hampshire,Wentworth's Location,Justin O'Donnell,LIB,0
New Hampshire,Wentworth's Location, Write-ins,WRI,0
New Hampshire,Whitefield,Corky Messner,REP,549
New Hampshire,Whitefield,Justin O'Donnell,LIB,30
New Hampshire,Whitefield, Write-ins,WRI,0
New Hampshire,Alexandria,Jeanne Shaheen,DEM,491
New Hampshire,Alexandria,Justin O'Donnell,LIB,37
New Hampshire,Alexandria, Write-ins,WRI,0
New Hampshire,Ashland,Corky Messner,REP,492
New Hampshire,Ashland,Justin O'Donnell,LIB,27
New Hampshire,Ashland, Write-ins,WRI,0
New Hampshire,Bath,Jeanne Shaheen,DEM,288
New Hampshire,Bath,Justin O'Donnell,LIB,12
New Hampshire,Bath, Write-ins,WRI,0
New Hampshire,Benton,Jeanne Shaheen,DEM,104
New Hampshire,Benton,Justin O'Donnell,LIB,8
New Hampshire,Benton, Write-ins,WRI,0
New Hampshire,Bethlehem,Corky Messner,REP,552
New Hampshire,Bethlehem,Justin O'Donnell,LIB,40
New Hampshire,Bethlehem, Write-ins,WRI,0
New Hampshire,Bridgewater,Jeanne Shaheen,DEM,399
New Hampshire,Bridgewater,Justin O'Donnell,LIB,11
New Hampshire,Bridgewater, Write-ins,WRI,1
New Hampshire,Bristol,Corky Messner,REP,896
New Hampshire,Bristol,Justin O'Donnell,LIB,49
New Hampshire,Bristol, Write-ins,WRI,4
New Hampshire,Campton,Corky Messner,REP,870
New Hampshire,Campton,Justin O'Donnell,LIB,41
New Hampshire,Campton, Write-ins,WRI,0
New Hampshire,Canaan,Corky Messner,REP,805
New Hampshire,Canaan,Justin O'Donnell,LIB,37
New Hampshire,Canaan, Write-ins,WRI,0
New Hampshire,Dorchester,Jeanne Shaheen,DEM,111
New Hampshire,Dorchester,Justin O'Donnell,LIB,7
New Hampshire,Dorchester, Write-ins,WRI,0
New Hampshire,Easton,Corky Messner,REP,64
New Hampshire,Easton,Justin O'Donnell,LIB,7
New Hampshire,Easton, Write-ins,WRI,0
New Hampshire,Ellsworth,Corky Messner,REP,27
New Hampshire,Ellsworth,Justin O'Donnell,LIB,4
New Hampshire,Ellsworth, Write-ins,WRI,0
New Hampshire,Enfield,Corky Messner,REP,848
New Hampshire,Enfield,Justin O'Donnell,LIB,67
New Hampshire,Enfield, Write-ins,WRI,0
New Hampshire,Franconia,Corky Messner,REP,244
New Hampshire,Franconia,Justin O'Donnell,LIB,17
New Hampshire,Franconia, Write-ins,WRI,0
New Hampshire,Grafton,Jeanne Shaheen,DEM,370
New Hampshire,Grafton,Justin O'Donnell,LIB,32
New Hampshire,Grafton, Write-ins,WRI,0
New Hampshire,Groton,Jeanne Shaheen,DEM,158
New Hampshire,Groton,Justin O'Donnell,LIB,7
New Hampshire,Groton, Write-ins,WRI,0
New Hampshire,Hanover,Corky Messner,REP,911
New Hampshire,Hanover,Justin O'Donnell,LIB,87
New Hampshire,Hanover, Write-ins,WRI,0
New Hampshire,Haverhill,Jeanne Shaheen,DEM,1021
New Hampshire,Haverhill,Justin O'Donnell,LIB,60
New Hampshire,Haverhill, Write-ins,WRI,0
New Hampshire,Hebron,Corky Messner,REP,255
New Hampshire,Hebron,Justin O'Donnell,LIB,10
New Hampshire,Hebron, Write-ins,WRI,0
New Hampshire,Holderness,Corky Messner,REP,553
New Hampshire,Holderness,Justin O'Donnell,LIB,23
New Hampshire,Holderness, Write-ins,WRI,0
New Hampshire,Landaff,Corky Messner,REP,129
New Hampshire,Landaff,Justin O'Donnell,LIB,7
New Hampshire,Landaff, Write-ins,WRI,0
New Hampshire,Lebanon,Corky Messner,REP,1798
New Hampshire,Lebanon,Justin O'Donnell,LIB,181
New Hampshire,Lebanon, Write-ins,WRI,0
New Hampshire,Lincoln,Corky Messner,REP,361
New Hampshire,Lincoln,Justin O'Donnell,LIB,20
New Hampshire,Lincoln, Write-ins,WRI,0
New Hampshire,Lisbon,Corky Messner,REP,360
New Hampshire,Lisbon,Justin O'Donnell,LIB,26
New Hampshire,Lisbon, Write-ins,WRI,1
New Hampshire,Littleton,Corky Messner,REP,1333
New Hampshire,Littleton,Justin O'Donnell,LIB,75
New Hampshire,Littleton, Write-ins,WRI,0
New Hampshire,Lyman,Jeanne Shaheen,DEM,176
New Hampshire,Lyman,Justin O'Donnell,LIB,9
New Hampshire,Lyman, Write-ins,WRI,0
New Hampshire,Lyme,Corky Messner,REP,216
New Hampshire,Lyme,Justin O'Donnell,LIB,10
New Hampshire,Lyme, Write-ins,WRI,0
New Hampshire,Monroe,Jeanne Shaheen,DEM,249
New Hampshire,Monroe, Write-ins,WRI,1
New Hampshire,Monroe,Justin O'Donnell,LIB,0
New Hampshire,Orange,Jeanne Shaheen,DEM,91
New Hampshire,Orange,Justin O'Donnell,LIB,5
New Hampshire,Orange, Write-ins,WRI,0
New Hampshire,Orford,Corky Messner,REP,259
New Hampshire,Orford,Justin O'Donnell,LIB,10
New Hampshire,Orford, Write-ins,WRI,0
New Hampshire,Piermont,Corky Messner,REP,183
New Hampshire,Piermont,Justin O'Donnell,LIB,7
New Hampshire,Piermont, Write-ins,WRI,0
New Hampshire,Plymouth,Corky Messner,REP,938
New Hampshire,Plymouth,Justin O'Donnell,LIB,145
New Hampshire,Plymouth, Write-ins,WRI,0
New Hampshire,Rumney,Jeanne Shaheen,DEM,434
New Hampshire,Rumney,Justin O'Donnell,LIB,20
New Hampshire,Rumney, Write-ins,WRI,0
New Hampshire,Sugar Hill,Corky Messner,REP,156
New Hampshire,Sugar Hill,Justin O'Donnell,LIB,6
New Hampshire,Sugar Hill, Write-ins,WRI,0
New Hampshire,Thornton,Corky Messner,REP,660
New Hampshire,Thornton,Justin O'Donnell,LIB,47
New Hampshire,Thornton, Write-ins,WRI,0
New Hampshire,Warren,Corky Messner,REP,215
New Hampshire,Warren,Justin O'Donnell,LIB,23
New Hampshire,Warren, Write-ins,WRI,0
New Hampshire,Waterville,Corky Messner,REP,129
New Hampshire,Waterville,Justin O'Donnell,LIB,4
New Hampshire,Waterville, Write-ins,WRI,0
New Hampshire,Wentworth,Jeanne Shaheen,DEM,265
New Hampshire,Wentworth,Justin O'Donnell,LIB,19
New Hampshire,Wentworth, Write-ins,WRI,0
New Hampshire,Woodstock,Corky Messner,REP,306
New Hampshire,Woodstock,Justin O'Donnell,LIB,15
New Hampshire,Woodstock, Write-ins,WRI,0
New Hampshire,Amherst,Corky Messner,REP,3101
New Hampshire,Amherst,Justin O'Donnell,LIB,147
New Hampshire,Amherst, Write-ins,WRI,0
New Hampshire,Antrim,Corky Messner,REP,673
New Hampshire,Antrim,Justin O'Donnell,LIB,52
New Hampshire,Antrim, Write-ins,WRI,0
New Hampshire,Bedford,Corky Messner,REP,6630
New Hampshire,Bedford,Justin O'Donnell,LIB,190
New Hampshire,Bedford, Write-ins,WRI,0
New Hampshire,Bennington,Corky Messner,REP,362
New Hampshire,Bennington,Justin O'Donnell,LIB,26
New Hampshire,Bennington, Write-ins,WRI,0
New Hampshire,Brookline,Corky Messner,REP,1572
New Hampshire,Brookline,Justin O'Donnell,LIB,109
New Hampshire,Brookline, Write-ins,WRI,0
New Hampshire,Deering,Jeanne Shaheen,DEM,495
New Hampshire,Deering,Justin O'Donnell,LIB,39
New Hampshire,Deering, Write-ins,WRI,0
New Hampshire,Francestown,Corky Messner,REP,518
New Hampshire,Francestown,Justin O'Donnell,LIB,21
New Hampshire,Francestown, Write-ins,WRI,0
New Hampshire,Goffstown,Corky Messner,REP,4574
New Hampshire,Goffstown,Justin O'Donnell,LIB,197
New Hampshire,Goffstown, Write-ins,WRI,0
New Hampshire,Greenfield,Corky Messner,REP,438
New Hampshire,Greenfield,Justin O'Donnell,LIB,19
New Hampshire,Greenfield, Write-ins,WRI,0
New Hampshire,Greenville,Corky Messner,REP,483
New Hampshire,Greenville,Justin O'Donnell,LIB,35
New Hampshire,Greenville, Write-ins,WRI,0
New Hampshire,Hancock,Corky Messner,REP,371
New Hampshire,Hancock,Justin O'Donnell,LIB,40
New Hampshire,Hancock, Write-ins,WRI,0
New Hampshire,Hillsborough,Corky Messner,REP,1520
New Hampshire,Hillsborough,Justin O'Donnell,LIB,132
New Hampshire,Hillsborough, Write-ins,WRI,0
New Hampshire,Hollis,Corky Messner,REP,2362
New Hampshire,Hollis,Justin O'Donnell,LIB,110
New Hampshire,Hollis, Write-ins,WRI,0
New Hampshire,Hudson,Corky Messner,REP,6848
New Hampshire,Hudson,Justin O'Donnell,LIB,305
New Hampshire,Hudson, Write-ins,WRI,1
New Hampshire,Litchfield,Corky Messner,REP,2512
New Hampshire,Litchfield,Justin O'Donnell,LIB,122
New Hampshire,Litchfield, Write-ins,WRI,0
New Hampshire,Lyndeborough,Corky Messner,REP,506
New Hampshire,Lyndeborough,Justin O'Donnell,LIB,37
New Hampshire,Lyndeborough, Write-ins,WRI,0
New Hampshire,Manchester,Corky Messner,REP,19220
New Hampshire,Manchester,Justin O'Donnell,LIB,1536
New Hampshire,Manchester, Write-ins,WRI,0
New Hampshire,Mason,Jeanne Shaheen,DEM,407
New Hampshire,Mason,Justin O'Donnell,LIB,45
New Hampshire,Mason, Write-ins,WRI,0
New Hampshire,Merrimack,Corky Messner,REP,6925
New Hampshire,Merrimack,Justin O'Donnell,LIB,403
New Hampshire,Merrimack, Write-ins,WRI,0
New Hampshire,Milford,Corky Messner,REP,3690
New Hampshire,Milford,Justin O'Donnell,LIB,267
New Hampshire,Milford, Write-ins,WRI,0
New Hampshire,Mont Vernon,Corky Messner,REP,700
New Hampshire,Mont Vernon,Justin O'Donnell,LIB,42
New Hampshire,Mont Vernon, Write-ins,WRI,0
New Hampshire,Nashua,Corky Messner,REP,15608
New Hampshire,Nashua,Justin O'Donnell,LIB,1026
New Hampshire,Nashua, Write-ins,WRI,0
New Hampshire,New Boston,Corky Messner,REP,1831
New Hampshire,New Boston,Justin O'Donnell,LIB,83
New Hampshire,New Boston, Write-ins,WRI,1
New Hampshire,New Ipswich,Jeanne Shaheen,DEM,1047
New Hampshire,New Ipswich,Justin O'Donnell,LIB,73
New Hampshire,New Ipswich, Write-ins,WRI,0
New Hampshire,Pelham,Jeanne Shaheen,DEM,3974
New Hampshire,Pelham,Justin O'Donnell,LIB,232
New Hampshire,Pelham, Write-ins,WRI,0
New Hampshire,Peterborough,Corky Messner,REP,1163
New Hampshire,Peterborough,Justin O'Donnell,LIB,95
New Hampshire,Peterborough, Write-ins,WRI,0
New Hampshire,Sharon,Corky Messner,REP,107
New Hampshire,Sharon,Justin O'Donnell,LIB,5
New Hampshire,Sharon, Write-ins,WRI,0
New Hampshire,Temple,Corky Messner,REP,395
New Hampshire,Temple,Justin O'Donnell,LIB,17
New Hampshire,Temple, Write-ins,WRI,0
New Hampshire,Weare,Jeanne Shaheen,DEM,2461
New Hampshire,Weare,Justin O'Donnell,LIB,142
New Hampshire,Weare, Write-ins,WRI,5
New Hampshire,Wilton,Corky Messner,REP,1000
New Hampshire,Wilton,Justin O'Donnell,LIB,77
New Hampshire,Wilton, Write-ins,WRI,0
New Hampshire,Windsor,Jeanne Shaheen,DEM,37
New Hampshire,Windsor,Justin O'Donnell,LIB,6
New Hampshire,Windsor, Write-ins,WRI,0
New Hampshire,Allenstown,Corky Messner,REP,1040
New Hampshire,Allenstown,Justin O'Donnell,LIB,80
New Hampshire,Allenstown, Write-ins,WRI,0
New Hampshire,Andover,Corky Messner,REP,650
New Hampshire,Andover,Justin O'Donnell,LIB,23
New Hampshire,Andover, Write-ins,WRI,2
New Hampshire,Boscawen,Corky Messner,REP,860
New Hampshire,Boscawen,Justin O'Donnell,LIB,62
New Hampshire,Boscawen, Write-ins,WRI,0
New Hampshire,Bow,Corky Messner,REP,1992
New Hampshire,Bow,Justin O'Donnell,LIB,94
New Hampshire,Bow, Write-ins,WRI,0
New Hampshire,Bradford,Corky Messner,REP,418
New Hampshire,Bradford,Justin O'Donnell,LIB,38
New Hampshire,Bradford, Write-ins,WRI,0
New Hampshire,Canterbury,Corky Messner,REP,625
New Hampshire,Canterbury,Justin O'Donnell,LIB,45
New Hampshire,Canterbury, Write-ins,WRI,0
New Hampshire,Chichester,Jeanne Shaheen,DEM,846
New Hampshire,Chichester,Justin O'Donnell,LIB,53
New Hampshire,Chichester, Write-ins,WRI,1
New Hampshire,Concord,Corky Messner,REP,6641
New Hampshire,Concord,Justin O'Donnell,LIB,559
New Hampshire,Concord, Write-ins,WRI,7
New Hampshire,Danbury,Jeanne Shaheen,DEM,324
New Hampshire,Danbury,Justin O'Donnell,LIB,23
New Hampshire,Danbury, Write-ins,WRI,0
New Hampshire,Dunbarton,Jeanne Shaheen,DEM,941
New Hampshire,Dunbarton,Justin O'Donnell,LIB,40
New Hampshire,Dunbarton, Write-ins,WRI,0
New Hampshire,Epsom,Jeanne Shaheen,DEM,1342
New Hampshire,Epsom,Justin O'Donnell,LIB,69
New Hampshire,Epsom, Write-ins,WRI,0
New Hampshire,Franklin,Corky Messner,REP,1946
New Hampshire,Franklin,Justin O'Donnell,LIB,72
New Hampshire,Franklin, Write-ins,WRI,1
New Hampshire,Henniker,Corky Messner,REP,960
New Hampshire,Henniker,Justin O'Donnell,LIB,78
New Hampshire,Henniker, Write-ins,WRI,0
New Hampshire,Hill,Jeanne Shaheen,DEM,262
New Hampshire,Hill,Justin O'Donnell,LIB,18
New Hampshire,Hill, Write-ins,WRI,2
New Hampshire,Hooksett,Corky Messner,REP,3937
New Hampshire,Hooksett,Justin O'Donnell,LIB,150
New Hampshire,Hooksett, Write-ins,WRI,0
New Hampshire,Hopkinton,Corky Messner,REP,1275
New Hampshire,Hopkinton,Justin O'Donnell,LIB,66
New Hampshire,Hopkinton, Write-ins,WRI,0
New Hampshire,Loudon,Jeanne Shaheen,DEM,1742
New Hampshire,Loudon,Justin O'Donnell,LIB,82
New Hampshire,Loudon, Write-ins,WRI,4
New Hampshire,Newbury,Corky Messner,REP,687
New Hampshire,Newbury,Justin O'Donnell,LIB,30
New Hampshire,Newbury, Write-ins,WRI,0
New Hampshire,New London,Corky Messner,REP,1039
New Hampshire,New London,Justin O'Donnell,LIB,39
New Hampshire,New London, Write-ins,WRI,1
New Hampshire,Northfield,Corky Messner,REP,1202
New Hampshire,Northfield,Justin O'Donnell,LIB,60
New Hampshire,Northfield, Write-ins,WRI,0
New Hampshire,Pembroke,Corky Messner,REP,1757
New Hampshire,Pembroke,Justin O'Donnell,LIB,121
New Hampshire,Pembroke, Write-ins,WRI,0
New Hampshire,Pittsfield,Jeanne Shaheen,DEM,913
New Hampshire,Pittsfield,Justin O'Donnell,LIB,62
New Hampshire,Pittsfield, Write-ins,WRI,0
New Hampshire,Salisbury,Corky Messner,REP,432
New Hampshire,Salisbury,Justin O'Donnell,LIB,35
New Hampshire,Salisbury, Write-ins,WRI,1
New Hampshire,Sutton,Corky Messner,REP,530
New Hampshire,Sutton,Justin O'Donnell,LIB,30
New Hampshire,Sutton, Write-ins,WRI,0
New Hampshire,Warner,Corky Messner,REP,744
New Hampshire,Warner,Justin O'Donnell,LIB,56
New Hampshire,Warner, Write-ins,WRI,0
New Hampshire,Webster,Corky Messner,REP,567
New Hampshire,Webster,Justin O'Donnell,LIB,26
New Hampshire,Webster, Write-ins,WRI,0
New Hampshire,Wilmot,Corky Messner,REP,332
New Hampshire,Wilmot,Justin O'Donnell,LIB,20
New Hampshire,Wilmot, Write-ins,WRI,0
New Hampshire,Atkinson,Jeanne Shaheen,DEM,2448
New Hampshire,Atkinson,Justin O'Donnell,LIB,99
New Hampshire,Atkinson, Write-ins,WRI,0
New Hampshire,Auburn,Jeanne Shaheen,DEM,1779
New Hampshire,Auburn,Justin O'Donnell,LIB,102
New Hampshire,Auburn, Write-ins,WRI,0
New Hampshire,Brentwood,Corky Messner,REP,1288
New Hampshire,Brentwood,Justin O'Donnell,LIB,56
New Hampshire,Brentwood, Write-ins,WRI,0
New Hampshire,Candia,Jeanne Shaheen,DEM,1150
New Hampshire,Candia,Justin O'Donnell,LIB,64
New Hampshire,Candia, Write-ins,WRI,2
New Hampshire,Chester,Jeanne Shaheen,DEM,1556
New Hampshire,Chester,Justin O'Donnell,LIB,85
New Hampshire,Chester, Write-ins,WRI,0
New Hampshire,Danville,Jeanne Shaheen,DEM,1190
New Hampshire,Danville,Justin O'Donnell,LIB,85
New Hampshire,Danville, Write-ins,WRI,0
New Hampshire,Deerfield,Jeanne Shaheen,DEM,1497
New Hampshire,Deerfield,Justin O'Donnell,LIB,102
New Hampshire,Deerfield, Write-ins,WRI,1
New Hampshire,Derry,Corky Messner,REP,8374
New Hampshire,Derry,Justin O'Donnell,LIB,411
New Hampshire,Derry, Write-ins,WRI,0
New Hampshire,East Kingston,Corky Messner,REP,806
New Hampshire,East Kingston,Justin O'Donnell,LIB,40
New Hampshire,East Kingston, Write-ins,WRI,0
New Hampshire,Epping,Corky Messner,REP,2079
New Hampshire,Epping,Justin O'Donnell,LIB,98
New Hampshire,Epping, Write-ins,WRI,0
New Hampshire,Exeter,Corky Messner,REP,3101
New Hampshire,Exeter,Justin O'Donnell,LIB,199
New Hampshire,Exeter, Write-ins,WRI,5
New Hampshire,Fremont,Jeanne Shaheen,DEM,1275
New Hampshire,Fremont,Justin O'Donnell,LIB,72
New Hampshire,Fremont, Write-ins,WRI,0
New Hampshire,Greenland,Corky Messner,REP,1084
New Hampshire,Greenland,Justin O'Donnell,LIB,39
New Hampshire,Greenland, Write-ins,WRI,0
New Hampshire,Hampstead,Jeanne Shaheen,DEM,2760
New Hampshire,Hampstead,Justin O'Donnell,LIB,106
New Hampshire,Hampstead, Write-ins,WRI,4
New Hampshire,Hampton,Corky Messner,REP,4651
New Hampshire,Hampton,Justin O'Donnell,LIB,208
New Hampshire,Hampton, Write-ins,WRI,0
New Hampshire,Hampton Falls,Corky Messner,REP,789
New Hampshire,Hampton Falls,Justin O'Donnell,LIB,39
New Hampshire,Hampton Falls, Write-ins,WRI,0
New Hampshire,Kensington,Corky Messner,REP,674
New Hampshire,Kensington,Justin O'Donnell,LIB,33
New Hampshire,Kensington, Write-ins,WRI,0
New Hampshire,Kingston,Jeanne Shaheen,DEM,1883
New Hampshire,Kingston,Justin O'Donnell,LIB,73
New Hampshire,Kingston, Write-ins,WRI,1
New Hampshire,Londonderry,Corky Messner,REP,7267
New Hampshire,Londonderry,Justin O'Donnell,LIB,292
New Hampshire,Londonderry, Write-ins,WRI,0
New Hampshire,New Castle,Corky Messner,REP,289
New Hampshire,New Castle,Justin O'Donnell,LIB,8
New Hampshire,New Castle, Write-ins,WRI,0
New Hampshire,Newfields,Corky Messner,REP,483
New Hampshire,Newfields,Justin O'Donnell,LIB,28
New Hampshire,Newfields, Write-ins,WRI,0
New Hampshire,Newington,Corky Messner,REP,300
New Hampshire,Newington,Justin O'Donnell,LIB,9
New Hampshire,Newington, Write-ins,WRI,0
New Hampshire,Newmarket,Corky Messner,REP,1696
New Hampshire,Newmarket,Justin O'Donnell,LIB,175
New Hampshire,Newmarket, Write-ins,WRI,0
New Hampshire,Newton,Jeanne Shaheen,DEM,1347
New Hampshire,Newton,Justin O'Donnell,LIB,75
New Hampshire,Newton, Write-ins,WRI,0
New Hampshire,North Hampton,Corky Messner,REP,1316
New Hampshire,North Hampton,Justin O'Donnell,LIB,49
New Hampshire,North Hampton, Write-ins,WRI,3
New Hampshire,Northwood,Corky Messner,REP,1318
New Hampshire,Northwood,Justin O'Donnell,LIB,81
